Pliegues,RF_lag3,RF_lag5,LR_lag3,LR_lag5,Lasso_lag3,Lasso_lag5,SVR_lag3,SVR_lag5,GBR_lag3,GBR_lag5,EN_lag3,EN_lag5
Fold 1,0.01024992474805208,0.012252966470726075,0.040039724864364405,0.021895191346727263,0.010776960202144279,0.012174630018785548,0.015468078623199892,0.01760843903140318,0.009779434918460589,0.011420890129223269,0.009565284147452635,0.011302485276006401
Fold 2,0.0034654790028897263,0.005035091442403037,0.006011300119910414,0.008859490447525814,0.005830512157480371,0.0041628178209003885,0.006113116840157294,0.004916001136074107,0.0032356427203584343,0.005701975083816919,0.005436850918158208,0.004665364477237958
Fold 3,0.0023592679268845803,0.002949809906214929,0.0025992429167313287,0.0046664023642300715,0.0022822032451363743,0.0022529508964825645,0.00796404463611408,0.006088199708838498,0.0020580457639178336,0.0016629287985771076,0.0022203947026757,0.0022001127575921923
Fold 4,0.005816714531364406,0.005213171417633708,0.008027408253553277,0.008157860534158647,0.0068929505784955224,0.007116647862429664,0.01265939261359597,0.018517430904360133,0.005418278123669583,0.00538593683445124,0.006962176711381616,0.0073470753710014585
Fold 5,0.0192276604805371,0.018611983854684357,0.015113229727054828,0.017660831026497646,0.014720001028475045,0.014294410403985488,0.01887661727868233,0.022049324098439734,0.01810880243931112,0.019952512288869566,0.015303018255397611,0.015525598338645133
Fold 6,0.09771702528411608,0.09956431209959703,0.030118410859911918,0.027916954105071657,0.031447307789219184,0.02945387612882689,0.031626231361112395,0.02644453457169389,0.09463728211372124,0.0995375403699054,0.03149229879078295,0.028936803651767803
Fold 7,0.0540431061323648,0.054167859948347115,0.04762141042846734,0.04645532345286754,0.0481744253316304,0.04494370195028598,0.050316887928784734,0.04639904244003375,0.049421854524424456,0.054665475485971365,0.04825315884257414,0.04514138769127069
Fold 8,0.11773173530979122,0.11372288912611114,0.06435862821306965,0.06136891020007355,0.0639669153019642,0.061772874292683425,0.06624907426369614,0.05994962545111924,0.11832758536068494,0.11840458130106289,0.06446466005725832,0.06245389530073253
Fold 9,0.12488762962953248,0.14180730563963115,0.08579317240129121,0.09188411466768681,0.0857156655407444,0.09105640660248339,0.08900868976003866,0.09379641896795221,0.12193860202437153,0.14260474228663647,0.08526027160961974,0.09105321745104938
Fold 10,0.06013499753852137,0.06438609266935819,0.02991618787999481,0.03832721415398882,0.02993832135270489,0.0361991485064633,0.029868123888590965,0.03686598425482056,0.048429003853080216,0.046525187785935285,0.02964533054946354,0.03566994199456049
