,Pruebas_PCR_Ag,Incidentes_PCR_Ag,H,H_UCI,Defunciones,Asint_H_<45,Asint_H_45a64,Asint_H_+65,Sint_H_<45,Sint_H_45a64,Sint_H_+65,Asint_M_<45,Asint_M_45a64,Asint_M_+65,Sint_M_<45,Sint_M_45a64,Sint_M_+65,Entradas,Salidas
08/03/2020,130.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
09/03/2020,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,
10/03/2020,39.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,
11/03/2020,116.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,,
12/03/2020,136.0,9.0,4.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,
13/03/2020,228.0,12.0,8.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,,
14/03/2020,196.0,23.0,8.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,3.0,6.0,1.0,,
15/03/2020,121.0,18.0,13.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,,
16/03/2020,147.0,24.0,18.0,3.0,0.0,1.0,1.0,0.0,4.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,73462.0,73898.0
17/03/2020,226.0,39.0,22.0,4.0,0.0,10.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,,
18/03/2020,282.0,28.0,36.0,6.0,0.0,3.0,8.0,0.0,0.0,4.0,1.0,6.0,1.0,2.0,0.0,2.0,2.0,68851.0,69944.0
19/03/2020,307.0,38.0,47.0,11.0,0.0,4.0,4.0,2.0,3.0,4.0,0.0,5.0,3.0,2.0,1.0,3.0,0.0,,
20/03/2020,333.0,35.0,61.0,14.0,1.0,10.0,7.0,1.0,3.0,5.0,1.0,2.0,4.0,3.0,5.0,3.0,2.0,62417.0,62512.0
21/03/2020,362.0,58.0,78.0,16.0,0.0,4.0,8.0,1.0,3.0,10.0,6.0,5.0,3.0,4.0,3.0,2.0,2.0,,
22/03/2020,346.0,50.0,80.0,23.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,6.0,2.0,0.0,3.0,2.0,34006.0,34575.0
23/03/2020,207.0,52.0,99.0,26.0,0.0,6.0,7.0,1.0,3.0,2.0,6.0,5.0,10.0,6.0,3.0,5.0,3.0,,
24/03/2020,496.0,113.0,127.0,33.0,4.0,6.0,8.0,3.0,8.0,9.0,19.0,4.0,2.0,6.0,11.0,12.0,40.0,66884.0,66296.0
25/03/2020,496.0,75.0,172.0,36.0,3.0,2.0,3.0,1.0,6.0,8.0,10.0,6.0,2.0,3.0,10.0,14.0,14.0,,
26/03/2020,728.0,119.0,209.0,53.0,9.0,6.0,4.0,2.0,9.0,14.0,12.0,7.0,3.0,4.0,10.0,15.0,11.0,67189.0,68611.0
27/03/2020,715.0,86.0,231.0,58.0,6.0,2.0,4.0,2.0,6.0,10.0,5.0,0.0,6.0,1.0,12.0,14.0,11.0,,
28/03/2020,517.0,62.0,260.0,57.0,6.0,3.0,2.0,2.0,5.0,6.0,12.0,4.0,4.0,0.0,7.0,9.0,7.0,47298.0,47057.0
29/03/2020,402.0,50.0,265.0,57.0,9.0,0.0,2.0,0.0,6.0,6.0,8.0,2.0,1.0,3.0,6.0,10.0,6.0,,
30/03/2020,250.0,46.0,283.0,59.0,3.0,3.0,2.0,1.0,0.0,5.0,5.0,1.0,2.0,9.0,10.0,3.0,8.0,59110.0,60070.0
31/03/2020,616.0,60.0,304.0,57.0,6.0,4.0,5.0,5.0,3.0,4.0,3.0,7.0,8.0,2.0,3.0,4.0,3.0,54693.0,56468.0
01/04/2020,598.0,34.0,287.0,58.0,4.0,2.0,0.0,2.0,1.0,4.0,0.0,4.0,4.0,1.0,10.0,3.0,5.0,55566.0,56640.0
02/04/2020,572.0,71.0,284.0,57.0,9.0,3.0,2.0,4.0,3.0,1.0,4.0,5.0,5.0,7.0,13.0,5.0,8.0,55754.0,56821.0
03/04/2020,460.0,38.0,284.0,57.0,6.0,1.0,0.0,3.0,3.0,8.0,3.0,0.0,1.0,1.0,9.0,7.0,7.0,59281.0,60228.0
04/04/2020,587.0,43.0,290.0,58.0,4.0,0.0,1.0,1.0,7.0,4.0,5.0,2.0,1.0,4.0,7.0,8.0,5.0,43821.0,44339.0
05/04/2020,331.0,18.0,298.0,53.0,14.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,35414.0,36649.0
06/04/2020,221.0,31.0,293.0,51.0,3.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,8.0,3.0,1.0,4.0,56885.0,60679.0
07/04/2020,540.0,25.0,273.0,50.0,4.0,0.0,2.0,3.0,1.0,6.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,58101.0,60054.0
08/04/2020,606.0,16.0,262.0,47.0,6.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,2.0,7.0,2.0,2.0,5.0,59311.0,60554.0
09/04/2020,546.0,40.0,244.0,49.0,2.0,1.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,12.0,4.0,3.0,8.0,45268.0,48045.0
10/04/2020,394.0,11.0,231.0,42.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,37387.0,38626.0
